claim_id	description	value	source_file	derivation	section	script
R-050.Female	Array weight median [min-max], Female	1.060 [0.380-2.051]	DEG_array_weights.csv	median/min/max of weight where comparison==Female	2.3 Differential gene expression analysis	scripts/00_shared/05_dge.R
R-051.Female	Arrays with weight < 0.5, Female	5	DEG_array_weights.csv	count weight<0.5 where comparison==Female	2.3 Differential gene expression analysis	scripts/00_shared/05_dge.R
R-050.Male	Array weight median [min-max], Male	1.101 [0.338-1.702]	DEG_array_weights.csv	median/min/max of weight where comparison==Male	2.3 Differential gene expression analysis	scripts/00_shared/05_dge.R
R-051.Male	Arrays with weight < 0.5, Male	3	DEG_array_weights.csv	count weight<0.5 where comparison==Male	2.3 Differential gene expression analysis	scripts/00_shared/05_dge.R
R-052.GSE110169	Median array weight, GSE110169 (All contrast)	1.006	DEG_array_weights.csv	median weight where comparison==All & dataset==GSE110169	2.3 Differential gene expression analysis	scripts/00_shared/05_dge.R
R-052.GSE93272	Median array weight, GSE93272 (All contrast)	1.087	DEG_array_weights.csv	median weight where comparison==All & dataset==GSE93272	2.3 Differential gene expression analysis	scripts/00_shared/05_dge.R
R-060.female	Top DEGs by FDR, female	HMGB2 (+0.67, FDR 2.7e-12); MAGED1 (-0.39, FDR 2.7e-12); KDM1A (-0.29, FDR 3.3e-12); C1GALT1C1 (+0.65, FDR 4.4e-12); CSGALNACT2 (+0.46, FDR 2.6e-11); S100A8 (+0.50, FDR 5.1e-11)	DEG_female_significant.csv	6 smallest adj.P.Val	2.3 Differential gene expression analysis	scripts/00_shared/05_dge.R
R-061.female	Largest |logFC| among significant, female	ARG1 (+1.36); CLEC4D (+1.17); BCL2A1 (+1.16); COX7B (+1.02); DEFA4 (+1.00); SCOC (+0.97)	DEG_female_significant.csv	6 largest |logFC|	2.3 Differential gene expression analysis	scripts/00_shared/05_dge.R
R-062.female	Median |logFC| among significant, female	0.192	DEG_female_significant.csv	median of |logFC|	2.3 Differential gene expression analysis	scripts/00_shared/05_dge.R
R-063.female	Minimum attainable FDR, female	2.7e-12	DEG_female_significant.csv	min adj.P.Val	2.3 Differential gene expression analysis	scripts/00_shared/05_dge.R
R-060.male	Top DEGs by FDR, male	STARD3NL (+0.70, FDR 3.3e-08); TBC1D15 (+1.01, FDR 3.3e-08); MIER1 (+0.65, FDR 3.3e-08); TTC33 (+1.30, FDR 3.3e-08); TRIM23 (+1.21, FDR 3.4e-08); SMARCA4 (-0.56, FDR 3.4e-08)	DEG_male_significant.csv	6 smallest adj.P.Val	2.3 Differential gene expression analysis	scripts/00_shared/05_dge.R
R-061.male	Largest |logFC| among significant, male	BCL2A1 (+1.84); COX7B (+1.70); RPL22L1 (+1.62); COMMD6 (+1.60); SCOC (+1.58); ZNF117 (+1.58)	DEG_male_significant.csv	6 largest |logFC|	2.3 Differential gene expression analysis	scripts/00_shared/05_dge.R
R-062.male	Median |logFC| among significant, male	0.337	DEG_male_significant.csv	median of |logFC|	2.3 Differential gene expression analysis	scripts/00_shared/05_dge.R
R-063.male	Minimum attainable FDR, male	3.3e-08	DEG_male_significant.csv	min adj.P.Val	2.3 Differential gene expression analysis	scripts/00_shared/05_dge.R
R-070	DEGs significant in both sexes	3857	DEG_female_significant.csv + DEG_male_significant.csv	set intersection on gene	2.3 Differential gene expression analysis	scripts/00_shared/05_dge.R
R-071	Female-list-only DEGs	1274	DEG_female_significant.csv + DEG_male_significant.csv	set difference	2.3 Differential gene expression analysis	scripts/00_shared/05_dge.R
R-072	Male-list-only DEGs	1963	DEG_female_significant.csv + DEG_male_significant.csv	set difference	2.3 Differential gene expression analysis	scripts/00_shared/05_dge.R
R-073	Union of the two DEG lists	7094	DEG_female_significant.csv + DEG_male_significant.csv	set union	2.3 Differential gene expression analysis	scripts/00_shared/05_dge.R
R-074	Shared DEGs concordant in direction	3854/3857 (99.9%)	DEG_female_significant.csv + DEG_male_significant.csv	sign(logFC) agreement	2.3 Differential gene expression analysis	scripts/00_shared/05_dge.R
R-080.All.1.07x	TREAT vs post-hoc filter, All at 1.07x	6422 -> 3331	DEG_treat_sensitivity.csv	cols posthoc_filter_n and treat_n	2.3 Differential gene expression analysis	scripts/00_shared/05_dge.R
R-080.All.1.20x	TREAT vs post-hoc filter, All at 1.20x	1942 -> 464	DEG_treat_sensitivity.csv	cols posthoc_filter_n and treat_n	2.3 Differential gene expression analysis	scripts/00_shared/05_dge.R
R-080.All.1.41x	TREAT vs post-hoc filter, All at 1.41x	321 -> 22	DEG_treat_sensitivity.csv	cols posthoc_filter_n and treat_n	2.3 Differential gene expression analysis	scripts/00_shared/05_dge.R
R-080.Female.1.07x	TREAT vs post-hoc filter, Female at 1.07x	5131 -> 1771	DEG_treat_sensitivity.csv	cols posthoc_filter_n and treat_n	2.3 Differential gene expression analysis	scripts/00_shared/05_dge.R
R-080.Female.1.20x	TREAT vs post-hoc filter, Female at 1.20x	1300 -> 86	DEG_treat_sensitivity.csv	cols posthoc_filter_n and treat_n	2.3 Differential gene expression analysis	scripts/00_shared/05_dge.R
R-080.Female.1.41x	TREAT vs post-hoc filter, Female at 1.41x	163 -> 3	DEG_treat_sensitivity.csv	cols posthoc_filter_n and treat_n	2.3 Differential gene expression analysis	scripts/00_shared/05_dge.R
R-080.Male.1.07x	TREAT vs post-hoc filter, Male at 1.07x	5820 -> 3493	DEG_treat_sensitivity.csv	cols posthoc_filter_n and treat_n	2.3 Differential gene expression analysis	scripts/00_shared/05_dge.R
R-080.Male.1.20x	TREAT vs post-hoc filter, Male at 1.20x	4126 -> 745	DEG_treat_sensitivity.csv	cols posthoc_filter_n and treat_n	2.3 Differential gene expression analysis	scripts/00_shared/05_dge.R
R-080.Male.1.41x	TREAT vs post-hoc filter, Male at 1.41x	1225 -> 48	DEG_treat_sensitivity.csv	cols posthoc_filter_n and treat_n	2.3 Differential gene expression analysis	scripts/00_shared/05_dge.R
R-085.All	ComBat-then-DE vs batch-in-model, All	6422 vs 6580 (ratio 1.025)	DEG_sensitivity_combat_vs_batch.csv	cols combat_then_DE, batch_in_model, ratio	2.3 Differential gene expression analysis	scripts/00_shared/05b_dge_sensitivity.R
R-085.Female	ComBat-then-DE vs batch-in-model, Female	5131 vs 4780 (ratio 0.932)	DEG_sensitivity_combat_vs_batch.csv	cols combat_then_DE, batch_in_model, ratio	2.3 Differential gene expression analysis	scripts/00_shared/05b_dge_sensitivity.R
R-085.Male	ComBat-then-DE vs batch-in-model, Male	5820 vs 5612 (ratio 0.964)	DEG_sensitivity_combat_vs_batch.csv	cols combat_then_DE, batch_in_model, ratio	2.3 Differential gene expression analysis	scripts/00_shared/05b_dge_sensitivity.R
R-090.b3	Signed R2 / mean k at power 3	R2 0.873, mean k 2240.3	WGCNA_01_soft_threshold.csv	row power==3	2.4 Co-expression network analysis (WGCNA)	scripts/00_shared/06_WGCNA.R
R-090.b6	Signed R2 / mean k at power 6	R2 0.861, mean k 446.6	WGCNA_01_soft_threshold.csv	row power==6	2.4 Co-expression network analysis (WGCNA)	scripts/00_shared/06_WGCNA.R
R-090.b9	Signed R2 / mean k at power 9	R2 0.897, mean k 125.0	WGCNA_01_soft_threshold.csv	row power==9	2.4 Co-expression network analysis (WGCNA)	scripts/00_shared/06_WGCNA.R
R-090.b10	Signed R2 / mean k at power 10	R2 0.903, mean k 87.8	WGCNA_01_soft_threshold.csv	row power==10	2.4 Co-expression network analysis (WGCNA)	scripts/00_shared/06_WGCNA.R
R-090.b12	Signed R2 / mean k at power 12	R2 0.901, mean k 47.4	WGCNA_01_soft_threshold.csv	row power==12	2.4 Co-expression network analysis (WGCNA)	scripts/00_shared/06_WGCNA.R
R-090.b14	Signed R2 / mean k at power 14	R2 0.908, mean k 28.2	WGCNA_01_soft_threshold.csv	row power==14	2.4 Co-expression network analysis (WGCNA)	scripts/00_shared/06_WGCNA.R
R-090.b20	Signed R2 / mean k at power 20	R2 0.914, mean k 8.5	WGCNA_01_soft_threshold.csv	row power==20	2.4 Co-expression network analysis (WGCNA)	scripts/00_shared/06_WGCNA.R
R-100	Modules detected (excluding grey)	12	WGCNA_02_module_trait.csv	row count, module!=grey	2.4 Co-expression network analysis (WGCNA)	scripts/00_shared/06_WGCNA.R
R-101	Genes unassigned (grey)	6019	WGCNA_02_module_trait.csv	row module==grey, col size	2.4 Co-expression network analysis (WGCNA)	scripts/00_shared/06_WGCNA.R
R-102	Module sizes	turquoise 2584; blue 2554; brown 1878; yellow 708; green 639; red 525; black 295; pink 172; magenta 127; purple 120; greenyellow 108; tan 34	WGCNA_02_module_trait.csv	cols module,size sorted desc	2.4 Co-expression network analysis (WGCNA)	scripts/00_shared/06_WGCNA.R
R-103.yellow	cor(ME,RA) and p, yellow	+0.556 (p 1.91e-15)	WGCNA_02_module_trait.csv	row yellow, cols cor_RA,p_RA	2.4 Co-expression network analysis (WGCNA)	scripts/00_shared/06_WGCNA.R
R-103.turquoise	cor(ME,RA) and p, turquoise	+0.369 (p 6.09e-07)	WGCNA_02_module_trait.csv	row turquoise, cols cor_RA,p_RA	2.4 Co-expression network analysis (WGCNA)	scripts/00_shared/06_WGCNA.R
R-103.green	cor(ME,RA) and p, green	-0.362 (p 9.59e-07)	WGCNA_02_module_trait.csv	row green, cols cor_RA,p_RA	2.4 Co-expression network analysis (WGCNA)	scripts/00_shared/06_WGCNA.R
R-103.brown	cor(ME,RA) and p, brown	-0.590 (p 1.29e-17)	WGCNA_02_module_trait.csv	row brown, cols cor_RA,p_RA	2.4 Co-expression network analysis (WGCNA)	scripts/00_shared/06_WGCNA.R
R-110	Disease modules selected	yellow (n=708, r=+0.556, p=1.91e-15, UP in RA); brown (n=1878, r=-0.590, p=1.29e-17, DOWN in RA)	WGCNA_03_disease_modules.csv	all rows	2.4 Co-expression network analysis (WGCNA)	scripts/00_shared/06_WGCNA.R
R-111	Disease-module gene background	2586	WGCNA_03_disease_modules.csv	sum of size	2.4 Co-expression network analysis (WGCNA)	scripts/00_shared/06_WGCNA.R
R-112	cor(ME,Male) for disease modules	yellow -0.176 (p 0.0206); brown +0.190 (p 0.0122)	WGCNA_03_disease_modules.csv	cols cor_Male,p_Male	2.4 Co-expression network analysis (WGCNA)	scripts/00_shared/06_WGCNA.R
R-115.yellow.All_samples	cor(ME,RA) yellow in All samples (n=173)	+0.556 (p 1.91e-15)	module_trait_RAvsControl_ALLSTRATA.csv	row module==yellow & stratum==All samples	2.4 Co-expression network analysis (WGCNA)	scripts/00_shared/08_module_trait_RA_control.R
R-115.brown.All_samples	cor(ME,RA) brown in All samples (n=173)	-0.590 (p 1.29e-17)	module_trait_RAvsControl_ALLSTRATA.csv	row module==brown & stratum==All samples	2.4 Co-expression network analysis (WGCNA)	scripts/00_shared/08_module_trait_RA_control.R
R-115.yellow.Female	cor(ME,RA) yellow in Female (n=138)	+0.485 (p 1.69e-09)	module_trait_RAvsControl_ALLSTRATA.csv	row module==yellow & stratum==Female	2.4 Co-expression network analysis (WGCNA)	scripts/00_shared/08_module_trait_RA_control.R
R-115.brown.Female	cor(ME,RA) brown in Female (n=138)	-0.515 (p 1.00e-10)	module_trait_RAvsControl_ALLSTRATA.csv	row module==brown & stratum==Female	2.4 Co-expression network analysis (WGCNA)	scripts/00_shared/08_module_trait_RA_control.R
R-115.yellow.Male	cor(ME,RA) yellow in Male (n=35)	+0.772 (p 5.51e-08)	module_trait_RAvsControl_ALLSTRATA.csv	row module==yellow & stratum==Male	2.4 Co-expression network analysis (WGCNA)	scripts/00_shared/08_module_trait_RA_control.R
R-115.brown.Male	cor(ME,RA) brown in Male (n=35)	-0.813 (p 2.88e-09)	module_trait_RAvsControl_ALLSTRATA.csv	row module==brown & stratum==Male	2.4 Co-expression network analysis (WGCNA)	scripts/00_shared/08_module_trait_RA_control.R
R-120.yellow	Hub genes in yellow module	217	WGCNA_06_disease_module_hubs.csv	count is_hub==TRUE & module==yellow	2.4 Co-expression network analysis (WGCNA)	scripts/00_shared/06_WGCNA.R
R-121.yellow	Top-connectivity hubs, yellow	ZNF267 (kME 0.946, GS +0.534, k 117.9); ZFYVE16 (kME 0.953, GS +0.490, k 114.8); SP3 (kME 0.946, GS +0.520, k 113.6); FAR1 (kME 0.951, GS +0.519, k 111.9); SNX13 (kME 0.937, GS +0.526, k 111.8); SPOPL (kME 0.955, GS +0.505, k 110.7)	WGCNA_06_disease_module_hubs.csv	6 largest connectivity among hubs	2.4 Co-expression network analysis (WGCNA)	scripts/00_shared/06_WGCNA.R
R-120.brown	Hub genes in brown module	144	WGCNA_06_disease_module_hubs.csv	count is_hub==TRUE & module==brown	2.4 Co-expression network analysis (WGCNA)	scripts/00_shared/06_WGCNA.R
R-121.brown	Top-connectivity hubs, brown	KHSRP (kME 0.911, GS -0.564, k 130.1); GPI (kME 0.907, GS -0.510, k 124.5); SF3B3 (kME 0.894, GS -0.567, k 122.0); CLSTN1 (kME 0.896, GS -0.556, k 119.1); XRCC6 (kME 0.879, GS -0.489, k 118.4); EXOSC10 (kME 0.902, GS -0.549, k 117.9)	WGCNA_06_disease_module_hubs.csv	6 largest connectivity among hubs	2.4 Co-expression network analysis (WGCNA)	scripts/00_shared/06_WGCNA.R
R-130	Preservation Zsummary, gold (random benchmark)	34.19	WGCNA_10_module_preservation.csv	row module==gold	2.4 Co-expression network analysis (WGCNA)	scripts/00_shared/06_WGCNA.R
R-131.yellow	Preservation Zsummary, yellow	48.14	WGCNA_10_module_preservation.csv	row module==yellow	2.4 Co-expression network analysis (WGCNA)	scripts/00_shared/06_WGCNA.R
R-132.yellow	yellow Zsummary minus gold benchmark	+13.95	WGCNA_10_module_preservation.csv	Zsummary(module) - Zsummary(gold)	2.4 Co-expression network analysis (WGCNA)	scripts/00_shared/06_WGCNA.R
R-131.brown	Preservation Zsummary, brown	36.95	WGCNA_10_module_preservation.csv	row module==brown	2.4 Co-expression network analysis (WGCNA)	scripts/00_shared/06_WGCNA.R
R-132.brown	brown Zsummary minus gold benchmark	+2.76	WGCNA_10_module_preservation.csv	Zsummary(module) - Zsummary(gold)	2.4 Co-expression network analysis (WGCNA)	scripts/00_shared/06_WGCNA.R
R-140	Sample-outlier cut height	69.32	logs/06_WGCNA_run3.log	literal in QC block	2.4 Co-expression network analysis (WGCNA)	scripts/00_shared/06_WGCNA.R
R-141	Sample outliers removed	10	logs/06_WGCNA_run3.log	literal in QC block	2.4 Co-expression network analysis (WGCNA)	scripts/00_shared/06_WGCNA.R
R-142	Network matrix after outlier removal	173 samples x 15763 genes	logs/06_WGCNA_run3.log	literal 'final matrix' line	2.4 Co-expression network analysis (WGCNA)	scripts/00_shared/06_WGCNA.R
R-150.Female	Candidates (Female) = disease modules INTERSECT Female DEGs	2045	candidate_summary.csv	col n_candidates	2.5 Candidate gene identification (disease module ∩ sex-stratified DEG)	scripts/00_shared/09_disease_module_deg_intersect.R
R-151.Female	Candidate split by module, Female	yellow=595 brown=1450	candidate_summary.csv	col per_module	2.5 Candidate gene identification (disease module ∩ sex-stratified DEG)	scripts/00_shared/09_disease_module_deg_intersect.R
R-152.Female	DEGs lost to variance filter, Female	0 (0%)	candidate_summary.csv	cols DEGs_lost_to_variance_filter, pct_DEG_lost	2.5 Candidate gene identification (disease module ∩ sex-stratified DEG)	scripts/00_shared/09_disease_module_deg_intersect.R
R-150.Male	Candidates (Male) = disease modules INTERSECT Male DEGs	2079	candidate_summary.csv	col n_candidates	2.5 Candidate gene identification (disease module ∩ sex-stratified DEG)	scripts/00_shared/09_disease_module_deg_intersect.R
R-151.Male	Candidate split by module, Male	yellow=585 brown=1494	candidate_summary.csv	col per_module	2.5 Candidate gene identification (disease module ∩ sex-stratified DEG)	scripts/00_shared/09_disease_module_deg_intersect.R
R-152.Male	DEGs lost to variance filter, Male	0 (0%)	candidate_summary.csv	cols DEGs_lost_to_variance_filter, pct_DEG_lost	2.5 Candidate gene identification (disease module ∩ sex-stratified DEG)	scripts/00_shared/09_disease_module_deg_intersect.R
R-155	Directional consistency (consistent / inconsistent overlaps)	Female-yellow: 595/0; Female-brown: 1450/0; Male-yellow: 585/0; Male-brown: 1494/0	diseasemod_DEG_direction_summary.csv	cols n_consistent, n_inconsistent	2.5 Candidate gene identification (disease module ∩ sex-stratified DEG)	scripts/00_shared/09b_disease_module_deg_venn.R
R-156	Candidates shared by both sexes	1773	WGCNA_11_candidates_{female,male}.csv	set intersection	2.5 Candidate gene identification (disease module ∩ sex-stratified DEG)	scripts/00_shared/06_WGCNA.R
R-157	Female-list-only candidates	272	WGCNA_11_candidates_{female,male}.csv	set difference	2.5 Candidate gene identification (disease module ∩ sex-stratified DEG)	scripts/00_shared/06_WGCNA.R
R-158	Male-list-only candidates	306	WGCNA_11_candidates_{female,male}.csv	set difference	2.5 Candidate gene identification (disease module ∩ sex-stratified DEG)	scripts/00_shared/06_WGCNA.R
R-159	Union of candidates carried into MR	2351	WGCNA_11_candidates_{female,male}.csv	set union	2.5 Candidate gene identification (disease module ∩ sex-stratified DEG)	scripts/00_shared/06_WGCNA.R
R-160.Female	Genes with an MR estimate, Female	1477	MR_MHC_sensitivity_summary.csv	col genes_tested_primary	2.6 Mendelian randomisation, incl. MHC sensitivity analysis	scripts/00_shared/10c_MR_mhc_sensitivity.R
R-161.Female	MR-prioritised at within-stratum FDR<0.05, Female	32	MR_MHC_sensitivity_summary.csv	col causal_FDR05_primary	2.6 Mendelian randomisation, incl. MHC sensitivity analysis	scripts/00_shared/10c_MR_mhc_sensitivity.R
R-162.Female	Surviving MHC exclusion, Female	14	MR_MHC_sensitivity_summary.csv	col causal_FDR05_noMHC	2.6 Mendelian randomisation, incl. MHC sensitivity analysis	scripts/00_shared/10c_MR_mhc_sensitivity.R
R-163.Female	MHC verdicts (robust/untestable/MHC-dep/FDR-rank), Female	14/14/0/4	MR_MHC_sensitivity_summary.csv	cols causal_robust, causal_untestable_noMHC, causal_MHC_dependent, causal_FDR_rank_only	2.6 Mendelian randomisation, incl. MHC sensitivity analysis	scripts/00_shared/10c_MR_mhc_sensitivity.R
R-164.Female	Genes tested after MHC exclusion, Female	1448	MR_MHC_sensitivity_summary.csv	col genes_tested_noMHC	2.6 Mendelian randomisation, incl. MHC sensitivity analysis	scripts/00_shared/10c_MR_mhc_sensitivity.R
R-165.Female	Panel-gene MHC verdicts (robust/untestable/dep/rank), Female	3/2/0/1 of 6	MR_MHC_sensitivity_summary.csv	panel_* columns	2.6 Mendelian randomisation, incl. MHC sensitivity analysis	scripts/00_shared/10c_MR_mhc_sensitivity.R
R-160.Male	Genes with an MR estimate, Male	1478	MR_MHC_sensitivity_summary.csv	col genes_tested_primary	2.6 Mendelian randomisation, incl. MHC sensitivity analysis	scripts/00_shared/10c_MR_mhc_sensitivity.R
R-161.Male	MR-prioritised at within-stratum FDR<0.05, Male	25	MR_MHC_sensitivity_summary.csv	col causal_FDR05_primary	2.6 Mendelian randomisation, incl. MHC sensitivity analysis	scripts/00_shared/10c_MR_mhc_sensitivity.R
R-162.Male	Surviving MHC exclusion, Male	14	MR_MHC_sensitivity_summary.csv	col causal_FDR05_noMHC	2.6 Mendelian randomisation, incl. MHC sensitivity analysis	scripts/00_shared/10c_MR_mhc_sensitivity.R
R-163.Male	MHC verdicts (robust/untestable/MHC-dep/FDR-rank), Male	14/10/0/1	MR_MHC_sensitivity_summary.csv	cols causal_robust, causal_untestable_noMHC, causal_MHC_dependent, causal_FDR_rank_only	2.6 Mendelian randomisation, incl. MHC sensitivity analysis	scripts/00_shared/10c_MR_mhc_sensitivity.R
R-164.Male	Genes tested after MHC exclusion, Male	1456	MR_MHC_sensitivity_summary.csv	col genes_tested_noMHC	2.6 Mendelian randomisation, incl. MHC sensitivity analysis	scripts/00_shared/10c_MR_mhc_sensitivity.R
R-165.Male	Panel-gene MHC verdicts (robust/untestable/dep/rank), Male	3/2/0/1 of 6	MR_MHC_sensitivity_summary.csv	panel_* columns	2.6 Mendelian randomisation, incl. MHC sensitivity analysis	scripts/00_shared/10c_MR_mhc_sensitivity.R
R-170.female	FS input gene count, female	32	FS_input_female.csv	row count	2.6 Mendelian randomisation, incl. MHC sensitivity analysis	scripts/00_shared/10_MR.R
R-171.female	Strongest MR associations, female	HLA-DRB1 OR 0.337, FDR 1.5e-247, 1 SNP, Wald ratio; WDR46 OR 4.531, FDR 3.8e-39, 1 SNP, Wald ratio; AIF1 OR 0.556, FDR 1.2e-21, 2 SNP, Inverse variance weighted; VPS52 OR 0.414, FDR 1.5e-21, 1 SNP, Wald ratio; GNL1 OR 4.629, FDR 2.7e-15, 1 SNP, Wald ratio; VARS2 OR 1.203, FDR 2.7e-14, 3 SNP, Inverse variance weighted	FS_input_female.csv	6 smallest MR_pval	2.6 Mendelian randomisation, incl. MHC sensitivity analysis	scripts/00_shared/10_MR.R
R-172.female	Single-instrument genes among FS input, female	22/32	FS_input_female.csv	count nSNP==1	2.6 Mendelian randomisation, incl. MHC sensitivity analysis	scripts/00_shared/10_MR.R
R-173.female	MHC-free FS input gene count, female	14	FS_input_female_noMHC.csv	row count	2.6 Mendelian randomisation, incl. MHC sensitivity analysis	scripts/00_shared/10c_MR_mhc_sensitivity.R
R-170.male	FS input gene count, male	25	FS_input_male.csv	row count	2.6 Mendelian randomisation, incl. MHC sensitivity analysis	scripts/00_shared/10_MR.R
